A_id,A_statement,Best_B_id,Best_B_statement,cosine_similarity
A2412,SINCLAIRVILLE ELEMENTARY SCHOOL PO BOX 540 SINCLAIRVILLE,B4508,Sinclairville Elem School 43 Sinclair Dr Sinclairville,0.8618467
A4861,SUCCESS ACADEMY CHARTER SCHOOL-NYC 6 760 EAST GUN HILL RD BRONX,B4765,Strive Charter School 604 E 139th St Bronx,0.8617866
A1307,PS 17 HENRY D WOODWORTH 208 N 5TH ST BROOKLYN,B3243,P.S. 017 Henry D. Woodworth 208 North 5 Street Brooklyn,0.86176336
A645,PS 21 PHILIP H SHERIDAN 715 E 225TH ST BRONX,B3260,P.S. 021 Philip H. Sheridan 715 East 225 Street Bronx,0.86171186
A2047,AFTON JUNIOR/SENIOR HIGH SCHOOL PO BOX 5 AFTON,B81,Afton Middle Senior High Sch 18 Sand St Afton,0.8616949
A267,MS 245 COMPUTER SCHOOL (THE) 100 W 77TH ST NEW YORK,B2606,M.S. M245 The Computer School 100 West 77th Street Manhattan,0.8616348
A2082,A F PALMER ELEMENTARY SCHOOL / WINDSOR CENTRAL MIDDLE SCHOOL 213 MAIN ST WINDSOR,B653,C R Weeks Elementary 440 Foley Rd Windsor,0.86157393
A1947,SUCCESS ACADEMY CHARTER SCHOOL-BED STUY 3 787 LAFAYETTE AVE BROOKLYN,B572,Brooklyn Emerging Leaders Academy Charter High School 125 Stuyvesant Ave Brooklyn,0.86153436
A1601,PS 23 AT QUEENS CHILDREN CENTER 74-03 COMMONWEALTH BLVD-BLDG 39 BELLEROSE,B3860,P.S. Q023 @ Queens Children Center 7403 Commonwealth Blvd Bellerose,0.8615116
A924,PS 244 RICHARD R GREEN 5404 TILDEN AVE BROOKLYN,B3718,P.S. 244 Richard R. Green 5400 Tilden Avenue Brooklyn,0.8613706
A355,PS 8 LUIS BELLIARD 465 W 167TH ST NEW YORK,B3224,P.S. 008 Luis Belliard 465 West 167 Street Manhattan,0.8612392
A1535,SOUTH STREET SCHOOL 130 SOUTH ST MANORVILLE,B1054,Dayton Avenue School 151 Dayton Ave Manorville,0.86123306
A1405,PS 327 DR ROSE B ENGLISH 111 BRISTOL ST BROOKLYN,B3776,P.S. 327 Dr. Rose B. English 111 Bristol St Brooklyn,0.8612167
A258,PS 165 ROBERT E SIMON 234 W 109TH ST NEW YORK,B3589,P.S. 165 Robert E. Simon 234 W 109th St Manhattan,0.86119115
A2367,CAIRO-DURHAM MIDDLE SCHOOL PO BOX 1139 CAIRO,B658,Cairo-Durham Jr-Sr High School 1301 Rt 145 Cairo,0.8611046
A489,PS 11 HIGHBRIDGE 1257 OGDEN AVE BRONX,B3229,P.S. 011 Highbridge 1257 Ogden Ave Bronx,0.8610892
A1035,FRANCIS LEWIS HIGH SCHOOL 58-20 UTOPIA PKY FRESH MEADOWS,B1486,Francis Lewis High School 58-20 Utopia Parkway Fresh Meadows,0.8609918
A106,PS 34 FRANKLIN D ROOSEVELT 730 E 12TH ST NEW YORK,B3293,P.S. 034 Franklin D. Roosevelt 730 E 12th St Manhattan,0.8609175
A1666,PS 229 DYKER 1400 BENSON AVE BROOKLYN,B3702,P.S. 229 Dyker 1400 Benson Avenue Brooklyn,0.8608588
A1071,DAVID N DINKINS SCHOOL 108-29 155TH ST JAMAICA,B4695,St Nicholas Of Tolentine Catholic Academy 80-22 Parsons Blvd Jamaica,0.86071694
A1143,IS 192 LINDEN (THE) 109-89 204TH ST SAINT ALBANS,B2055,I.S. 192 The Linden 10989 204th St Saint Albans,0.86069685
A1018,CIVIC LEADERSHIP ACADEMY 45-10 94TH ST ELMHURST,B881,Civic Leadership Academy 45-10 94th Street Queens,0.8606092
A2431,CORDELLO AVENUE ELEMENTARY SCHOOL 51 CORDELLO AVE CENTRAL ISLIP,B4683,St Mary Elementary School 16 Harrison Ave East Islip,0.860521
A330,PS 194 COUNTEE CULLEN 244 W 144TH ST NEW YORK,B3639,P.S. 194 Countee Cullen 244 West 144 Street Manhattan,0.8604491
A886,PS 399 STANLEY EUGENE CLARKE 2707 ALBERMARLE RD BROOKLYN,B4112,Ps 939 270 59th Street Brooklyn,0.8604185
A213,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW 350 GRAND ST NEW YORK,B5051,"Urban Assembly Academy Of Government And Law, The 350 Grand Street Manhattan",0.86040854
A1201,PS 234 30-15 29TH ST ASTORIA,B4102,Ps 110 48-29 37th Street Queens,0.8603663
A1440,PS 163 FLUSHING HEIGHTS 159-01 59TH AVE FLUSHING,B3586,P.S. 164 Queens Valley 13801 77th Ave Flushing,0.8603606
A3487,C E WALTERS SCHOOL 15 EVERETT DR YAPHANK,B810,Charles E. Walters Elementary School 15 Everret Dr Yaphank,0.8603447
A1400,PS 165 IDA POSNER 76 LOTT AVE BROOKLYN,B4111,Ps 936 270 59th Street Brooklyn,0.8603065
