A_id,A_statement,Best_B_id,Best_B_statement,cosine_similarity
A4058,ROCHESTER EARLY COLLEGE INTERNATIONAL HIGH SCHOOL 85 ADAMS ST ROCHESTER,B3014,North East College Prep High School 940 Fernwood Park Rochester,0.9087732
A710,PS 47 JOHN RANDOLPH 1794 E 172ND ST BRONX,B3331,P.S. 047 John Randolph 1794 East 172 Street Bronx,0.90873843
A3773,ODESSA-MONTOUR JUNIOR/SENIOR HIGH SCHOOL 300 COLLEGE AVE ODESSA,B3102,Odessa-Montour Ms/Hs 300 College Ave Odessa,0.90873647
A4065,FRANKLIN LOWER SCHOOL 950 NORTON ST ROCHESTER,B351,Benjamin Franklin High School 950 Norton St Rochester,0.9086393
A2164,GORDON CREEK ELEMENTARY SCHOOL 50 WOOD RD BALLSTON SPA,B264,Ballston Spa Middle School 10 Wood Rd Ballston Spa,0.9085656
A419,PS 157 GROVE HILL 757 CAULDWELL AVE BRONX,B4109,Ps 536 1827 Archer Street Bronx,0.90850544
A266,MS 243 CENTER SCHOOL 100 W 84TH ST NEW YORK,B2580,M.S. 243 Center School 100 W 84th St New York,0.9083833
A515,PS 204 MORRIS HEIGHTS 1780 DR M L KING JR BLVD BRONX,B4109,Ps 536 1827 Archer Street Bronx,0.90837264
A1337,WILLIAMSBURG HIGH SCHOOL OF ART AND TECHNOLOGY (THE) 223 GRAHAM AVE BROOKLYN,B5363,Williamsburg High School For Architecture And Design 257 N 6th Street Brooklyn,0.9083538
A487,PS 170 1598 TOWNSEND AVE BRONX,B4113,Ps X469 3177 Webster Ave Bronx,0.9083476
A2105,ANDOVER HIGH SCHOOL 31-35 ELM ST ANDOVER,B151,Andover Central School 31 Elm St Andover,0.90822566
A1645,PS/IS 104 FORT HAMILTON SCHOOL (THE) 9115 5TH AVE BROOKLYN,B3889,P.S./I.S. 104 The Fort Hamilton School 9115 5 Avenue Brooklyn,0.9082093
A3973,PUTNAM CENTRAL SCHOOL PO BOX 91 PUTNAM STATION,B4127,Putnam Central School Lower Rd Putnam Station,0.90817815
A433,BRONX  LEGACY HIGH SCHOOL 730 CONCOURSE VILLAGE BRONX,B513,Bronx Community High School 1980 Lafayette Ave Bronx,0.9080938
A720,PS 196 1250 WARD AVE BRONX,B4109,Ps 536 1827 Archer Street Bronx,0.90808076
A930,PS 66 845 E 96TH ST BROOKLYN,B4111,Ps 936 270 59th Street Brooklyn,0.90806603
A1151,QUEENS PREPARATORY ACADEMY 143-10 SPRINGFIELD BLVD SPRINGFIELD GARDENS,B4144,Queens Preparatory Academy 143-10 Springfield Boulevard Queens,0.9080231
A1485,PS 100 GLEN MORRIS 111-11 118TH ST SOUTH OZONE PARK,B3439,P.S. 100 Glen Morris 11111 118th St South Ozone Park,0.9079543
A3138,MAIN STREET SCHOOL SCHOOL (4-5) 101 MAIN ST IRVINGTON,B2628,Main Street School 101 Main Street Irvington,0.9076553
A1739,PS 194 RAOUL WALLENBERG 3117 AVE W BROOKLYN,B3640,P.S. 194 Raoul Wallenberg 3117 Avenue W Brooklyn,0.90763295
A1743,PS 206 JOSEPH F LAMB 2200 GRAVESEND NECK RD BROOKLYN,B3669,P.S. 206 Joseph F Lamb 2201 Gravesend Neck Rd Brooklyn,0.90762913
A4789,YONKERS EARLY CHILDHOOD ACADEMY 160 BOLMER AVE YONKERS,B5453,Yonkers Montessori Academy 160 Woodlawn Ave Yonkers,0.90760154
A1600,PS 231 5601 16TH AVE BROOKLYN,B4111,Ps 936 270 59th Street Brooklyn,0.9075295
A876,PS 189 BILINGUAL CENTER (THE) 1100 E NEW YORK AVE BROOKLYN,B3630,P.S. 189 The Bilingual Center 1100 East New York Avenue Brooklyn,0.90744853
A4819,MONROE 2-ORLEANS BOCES 3599 BIG RIDGE RD SPENCERPORT,B2826,Monroe 2 Orleans Boces 3589 Big Ridge Rd Spencerport,0.9073218
A1606,PS 140 141 MACON ST BROOKLYN,B4111,Ps 936 270 59th Street Brooklyn,0.90730494
A800,MS 51 WILLIAM ALEXANDER 350 5TH AVE BROOKLYN,B2597,M.S. 51 William Alexander 350 5th Ave Brooklyn,0.90729594
A1461,WORLD JOURNALISM PREPARATORY:  A COLLEGE BOARD SCHOOL 34-65 192ND ST FLUSHING,B5417,World Journalism Preparatory:  A College Board School 34-65 192 Street Queens,0.90728074
A4668,NORTHWOOD ELEMENTARY SCHOOL 250 NORTHWOOD AVE WEST SENECA,B3059,Northwood Elementary School 250 Northwood Ave Buffalo,0.9072119
A2194,BEAVER RIVER ELEMENTARY SCHOOL PO BOX 179 BEAVER FALLS,B308,Beaver River Middle School 9508 Artz Road Beaver Falls,0.90713537
A4651,WEST GENESEE INTERMEDIATE SCHOOL 500 SANDERSON DR CAMILLUS,B5264,West Genesee Middle School 500 Sanderson Dr Camillus,0.9071326
A1526,HAWTREE CREEK MIDDLE SCHOOL 121-10 ROCKAWAY BLVD SOUTH OZONE PARK,B1829,Hawtree Creek Middle School 121-10 Rockaway Boulevard Queens,0.907059
A3471,NEW HAVEN ELEMENTARY SCHOOL PO BOX 119 NEW HAVEN,B2954,New Haven Elementary School 4320 State Route 104 New Haven,0.9069597
A1397,PS 150 CHRISTOPHER 364 SACKMAN ST BROOKLYN,B4111,Ps 936 270 59th Street Brooklyn,0.9069403
A4042,SCHOOL 42-ABELARD REYNOLDS 3330 LAKE AVE ROCHESTER,B1309,Elementary School 42 3330 Lake Ave Rochester,0.90681344
A496,PS 114 LUIS LLORENS TORRES SCHOOL 1155 CROMWELL AVE BRONX,B3878,P.S. X114 - Luis Llorens Torres Schools 1155 Cromwell Ave Bronx,0.9067171
A3096,J TAYLOR FINLEY MIDDLE SCHOOL PO BOX 1500 HUNTINGTON,B1428,Finley Middle School 20 Greenlawn Rd Huntington,0.9066804
A549,NEW AMERICAN ACADEMY AT ROBERTO CLEMENTE STATE PARK (THE) 275 HARLEM RIVER PARK BRIDGE BRONX,B4889,The New American Academy At Roberto Clemente State Park 275 Harlem River Park Brg Bronx,0.90666306
A4857,SOUTH SHORE CHARTER SCHOOL PO BOX 802 CENTRAL ISLIP,B4570,South Shore Charter School 82 Carleton Ave Central Islip,0.9066143
A192,RICHARD R GREEN HIGH SCHOOL OF TEACHING 7 BEAVER ST NEW YORK,B4215,Richard R. Green High School Of Teaching 26 Broadway Manhattan,0.9065333
A4040,SCHOOL 35-PINNACLE 194 FIELD ST ROCHESTER,B4403,School # 45 - Northeast 1445 Clifford Ave Rochester,0.9064942
A262,PS 199 JESSIE ISADOR STRAUS 270 W 70TH ST NEW YORK,B3653,P.S. 199 Jessie Isador Straus 270 W 70th St New York,0.9063706
A279,URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES 122 AMSTERDAM AVE NEW YORK,B5060,"Urban Assembly School For Media Studies, The 122 Amsterdam Avenue Manhattan",0.9063483
A1077,PS 82 HAMMOND 88-02 144TH ST JAMAICA,B3400,P.S. 082 Hammond 8802 144th St Jamaica,0.9063353
A2905,GREECE COMMUNITY EARLY LEARNING CENTER 1010 ENGLISH RD ROCHESTER,B1172,Early Learning Center 1010 English Rd Rochester,0.9062823
A974,BROOKLYN SCHOOL FOR MATH AND RESEARCH (THE) 400 IRVING AVE BROOKLYN,B4842,The Brooklyn School For Math And Research 400 Irving Avenue Brooklyn,0.9062643
A348,KIPP STAR COLLEGE PREP CHARTER SCHOOL 433 W 123RD ST-4TH FL NEW YORK,B2364,Kipp Infinity Charter School 625 W 133 St Rm 261 New York,0.90624595
